Program ID,Program Name,Short Name,Degree,Faculty,Department,Category,Mode,Duration,Years,Semesters,Credits,Eligibility,Minimum Percentage,Required Stream,Admission Type,Entrance Required,Entrance Exam,Semester Fee,Annual Fee,Registration Fee,Hostel Fee,Hostel Included,Security Fee,Total Fee,Seats,Career Opportunities,Description,Approvals,Status,Scholarships,International Eligibility
24,B.Sc. Fashion Technology (Hons with Research),N/A,B.Sc. (Hons.),Faculty of Design (Fashion Technology),Fashion Technology,Any,Direct Entry,4 Year / 8 Sems,N/A,8,N/A,Level 1: (Certificate in Fashion Technology) (1 Year -2 Semesters); Entry: 10+2 or its equivalent in any stream from a recognized Institute/ University; Exit: The Student who Completed one year (2 Semesters) and leave the program will be awarded Certificate in Fashion Technology.; Level 2: (Diploma in Fashion Technology) (2 Yrs-4 Sems); Entry: The Student who Completed one year (2 Semesters) of Certificate in Fashion Technology from any recognized university.; Exit: The Student who Completed two Year (4 Semesters) and leave the program will be awarded Diploma in Fashion Technology.; Level 3: (B.Sc. Fashion Technology) (3 Year - 6 Semesters); Entry: The Student who Completed two Year (4 Semesters) of Diploma in Fashion Technology from any recognized university.; Exit: The Student who Completed three Year (6 Semesters) and leave the program will be awarded degree of B.Sc. Fashion Technology.; Level 4: B.Sc. Fashion Technology (Hons with research) (4 Year - 8 Semesters); Entry: The Student who Completed Three Year (6 Semesters) of B.Sc. Fashion Technology with 75% marks in aggregate from any recognized university.; Exit: The Student who Completed Four Year (8 Semesters) and leave the program will be awarded B.Sc. Fashion Technology (Hons with Research),45,Any,Direct Entry,N/A,None,N/A,N/A,5500,N/A,N/A,N/A,N/A,N/A,Fashion Designer; Textile Designer; Fashion Consultant; Merchandiser,"Fashion technology degree covering textile science, garment construction, fashion illustration and design management.",N/A,N/A,N/A,N/A
25,M.Sc. Fashion Technology,N/A,M.Sc.,Faculty of Design (Fashion Technology),Fashion Technology,Any,Direct Entry,2 Year / 4 Sems (Direct) | 1 Year / 2 Sems (Lateral),N/A,4,N/A,Direct Entry: Graduation in any stream with 50% (45% for SC/ST) marks from a recognized University.; Lateral Entry: PG Diploma in Fashion Technology with 50% marks (45% for SC/ST candidate) from a recognized University.,50,Any,Direct Entry,N/A,None,N/A,N/A,5500,N/A,N/A,N/A,N/A,N/A,Senior Fashion Designer; Design Director; Fashion Researcher; Academic,"Advanced fashion technology with focus on innovation, sustainability and fashion business.",N/A,N/A,N/A,N/A
26,Bachelor of Fine Arts — Painting (BFA),N/A,BFA,Faculty of Design (Fashion Technology),Fine Arts,Any,Direct Entry,4 Year / 8 Sems,N/A,8,N/A,10+2 in any stream with 55% marks (45% for reserve category as per Govt. norms) or its equivalent from a recognized Board.,55,Any,Direct Entry,N/A,None,N/A,N/A,5500,N/A,N/A,N/A,N/A,N/A,Painter/Artist; Art Teacher; Illustrator; Art Director,"Professional fine arts degree in painting with studio practice, art history and contemporary art theory.",N/A,N/A,N/A,N/A
27,Bachelor of Fine Arts — Sculpture (BFA),N/A,BFA,Faculty of Design (Fashion Technology),Fine Arts,Any,Direct Entry,4 Year / 8 Sems,N/A,8,N/A,10+2 in any stream with 55% marks (45% for reserve category as per Govt. norms) or its equivalent from a recognized Board.,55,Any,Direct Entry,N/A,None,N/A,N/A,5500,N/A,N/A,N/A,N/A,N/A,Sculptor; Art Instructor; Museum Curator; Public Art Specialist,"Professional fine arts degree in sculpture covering 3D art forms, materials and contemporary practices.",N/A,N/A,N/A,N/A
28,Master of Fine Arts — Painting (MFA),N/A,MFA,Faculty of Design (Fashion Technology),Fine Arts,Any,Direct Entry,2 Year / 4 Sems,N/A,4,N/A,BFA or equivalent from a recognized Institute/University.,50,Any,Direct Entry,N/A,None,N/A,N/A,5500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29,Master of Fine Arts — Sculpture (MFA),N/A,MFA,Faculty of Design (Fashion Technology),Fine Arts,Any,Direct Entry,2 Year / 4 Sems,N/A,4,N/A,Bachelor of Fine Arts from recognized Institute/University.,50,Any,Direct Entry,N/A,None,N/A,N/A,5500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30,D.El.Ed. / ETT (Diploma in Elementary Education),N/A,D.El.Ed.,Faculty of Education,Elementary Education,Any,Direct Entry,2 Years (Annual),N/A,N/A,N/A,"a) Candidate should have passed Graduation with minimum 50% marks in case of General Category and 45% in the case of SC, ST, OBC, BC and Physically Handicapped candidates from a recognized institution. No candidate with Re-appear/Compartment/Result Later etc. in qualifying examination shall be eligible for admission.; b) Candidate must have passed Punjabi upto Matric Level/Standard.; c) To ensure high quality standards, any candidate who has not passed in the subjects - English, Hindi, Punjabi, Science, Social Studies and Mathematics in Class X Examination shall not be eligible for admission to D.EI.Ed.; d) The applicant should not be more than 36 Year. Five Year of age relaxation will be given to SC/ST/OB applicants. All reserve category candidates will get relaxation (as per govt. norms) in marks and age.",50,Any,Direct Entry,N/A,None,N/A,N/A,5500,N/A,N/A,N/A,N/A,N/A,Primary School Teacher; Government School Teacher; Education Officer,"Elementary teacher training diploma by SCERT covering pedagogy, child development and teaching methodologies for primary education.",N/A,N/A,N/A,N/A
31,Bachelor of Education (B.Ed.),N/A,B.Ed.,Faculty of Education,Education,Any,Direct Entry,2 Year / 4 Sems,N/A,4,N/A,"Candidates must have passed with at least 50% marks or equivalent CGPA either in Bachelor's degree and/or in the Master's degree in Science/Social Science/ Humanities/ Commerce / Home Science/Mathematics, from a recognized University; OR; Candidates must have passed Bachelors in Engineering or Technology with specialization in Science and Mathematics with 55% aggregate marks, from a recognized University.; OR; Candidates must have passed B.A.LL.B. with at least 50% marks or equivalent CGPA in a relevant school subject.; All reserve category candidates will get relaxation (as per govt. norms) in marks and age.",50,Any,Direct Entry,N/A,None,22500,N/A,5500,N/A,N/A,N/A,N/A,N/A,School Teacher; Government Teacher; School Principal; Educational Trainer,"Professional teacher training degree covering pedagogy, curriculum development, educational psychology and school teaching practice.",N/A,N/A,N/A,N/A
32,Post Graduate Diploma in Rehabilitation Psychology (PGDRP),N/A,PGDRP,Faculty of Education,Psychology / Rehabilitation,Any,Direct Entry,1 Year (Annual),N/A,N/A,N/A,"Candidate must have passed Bachelor's degree (regular mode) with general Psychology courses in all the three Year; OR; Master's degree in any branch of psychology either in regular or distance mode; OR; Candidate must have passed Master's degree in Counseling Psychology either in regular or distance mode with a minimum of 55% marks in aggregate.; For SC/ST/OBC category, minimum of 50% marks in aggregate is essential. Entry qualification shall be from a UGC recognized university.; All reserve category candidates will get relaxation (as per state government norms) in age and others.",55,Any,Direct Entry,N/A,None,83050,N/A,5500,N/A,N/A,N/A,83050,N/A,Rehabilitation Psychologist; Special Educator; Clinical Counsellor; NGO Worker,RCI approved Post Graduate Diploma covering rehabilitation psychology for persons with disabilities. Mandatory clinical training.,N/A,N/A,N/A,N/A
33,B.Ed. Special Education — Hearing Impairment (B.Ed. Spl. Edu. HI),N/A,B.Ed. (Spl. Edu.),Faculty of Education,Special Education,Any,Direct Entry,2 Years (Annual),N/A,N/A,N/A,"Candidates must have passed with at least 50% marks or equivalent CGPA either in Bachelor's degree and/or in the Master's degree in Science/Social Science/ Humanities/ Commerce / Home Science/Mathematics, from a recognized University; OR; Candidate must have passed Bachelors in Engineering or Technology with specialization in science and mathematics with 55% aggregate marks, from a recognized University.; OR; Candidates must have passed B.A.LL.B. With at least 50% marks or equivalent CGPA in a relevant school subject.; All reserve category candidates will get relaxation (as per state government norms) in marks and age.",50,Any,Direct Entry,N/A,None,22500,N/A,5500,N/A,N/A,N/A,45000,N/A,Special Educator (HI); Rehabilitation Teacher; School Counsellor,Special education teacher training for working with hearing impaired students. RCI recognition.,N/A,N/A,N/A,N/A
34,B.Ed. Special Education — Intellectual Disability (B.Ed. Spl. Edu. ID),N/A,B.Ed. (Spl. Edu.),Faculty of Education,Special Education,Any,Direct Entry,2 Years (Annual),N/A,N/A,N/A,"Candidates must have passed with at least 50% marks or equivalent CGPA either in Bachelor's degree and/or in the Master's degree in Science/Social Science/ Humanities/ Commerce / Home Science/Mathematics, from a recognized University; OR; Candidate must have passed Bachelors in Engineering or Technology with specialization in science and mathematics with 55% aggregate marks, from a recognized University.; OR; Candidates must have passed B.A.LL.B. With at least 50% marks or equivalent CGPA in a relevant school subject.; All reserve category candidates will get relaxation (as per state government norms) in marks and age.",50,Any,Direct Entry,N/A,None,22500,N/A,5500,N/A,N/A,N/A,45000,N/A,Special Educator (ID); Rehabilitation Professional; NGO Program Officer,Special education teacher training for students with intellectual disabilities. RCI recognition.,N/A,N/A,N/A,N/A
35,B.Ed. Special Education — Learning Disability (B.Ed. Spl. Edu. LD),N/A,B.Ed. (Spl. Edu.),Faculty of Education,Special Education,Any,Direct Entry,2 Years (Annual),N/A,N/A,N/A,"Candidates must have passed with at least 50% marks or equivalent CGPA either in Bachelor's degree and/or in the Master's degree in Science/Social Science/ Humanities/ Commerce / Home Science/Mathematics, from a recognized University; OR; Candidate must have passed Bachelors in Engineering or Technology with specialization in science and mathematics with 55% aggregate marks, from a recognized University.; OR; Candidates must have passed B.A.LL.B. With at least 50% marks or equivalent CGPA in a relevant school subject.; All reserve category candidates will get relaxation (as per state government norms) in marks and age.",50,Any,Direct Entry,N/A,None,22500,N/A,5500,N/A,N/A,N/A,45000,N/A,Learning Disability Specialist; Special Educator; Remedial Teacher,Special education teacher training for supporting students with learning disabilities like dyslexia.,N/A,N/A,N/A,N/A
36,B.A. B.Ed. ISTEP ID — Integrated Special Teacher Education (Intellectual Disability),N/A,B.A. B.Ed.,Faculty of Education,Special Education,Any,Direct Entry,4 Year / 8 Sems,N/A,8,N/A,10+2 in any stream from a recognized Board; Minimum 45% marks,45,Any,Direct Entry,N/A,None,25000,N/A,5500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37,B.Ed. Special Education — Visual Impairment (B.Ed. Spl. Edu. VI),N/A,B.Ed. (Spl. Edu.),Faculty of Education,Special Education,Any,Direct Entry,2 Years (Annual),N/A,N/A,N/A,"Candidates must have passed with at least 50% marks or equivalent CGPA either in Bachelor's degree and/or in the Master's degree in Science/Social Science/ Humanities/ Commerce / Home Science/Mathematics, from a recognized University; OR; Candidate must have passed Bachelors in Engineering or Technology with specialization in science and mathematics with 55% aggregate marks, from a recognized University.; OR; Candidates must have passed B.A.LL.B. With at least 50% marks or equivalent CGPA in a relevant school subject.; All reserve category candidates will get relaxation (as per state government norms) in marks and age.",50,Any,Direct Entry,N/A,None,22500,N/A,5500,N/A,N/A,N/A,45000,N/A,Special Educator (VI); Braille Instructor; Rehabilitation Teacher,Special education training for supporting visually impaired students. RCI recognition.,N/A,N/A,N/A,N/A
38,M.Ed. (Master of Education),N/A,M.Ed.,Faculty of Education,Education,Any,Direct Entry,2 Year / 4 Sems,N/A,4,N/A,Candidates must have passed B.Ed./B.A. B.Ed./ B.Sc. B.Ed./ B.EI. Ed or Equivalent with 50% marks (45% for ST/SC) or equivalent CGPA in the aggregate from a recognized University.,50,Any,Direct Entry,N/A,None,22500,N/A,5500,N/A,N/A,N/A,N/A,N/A,College Lecturer; Education Researcher; Curriculum Developer; School Principal,"Post-graduate education degree covering advanced pedagogy, educational research, curriculum theory and policy.",N/A,N/A,N/A,N/A
39,M.A. Education (Non-Council),N/A,M.A.,Faculty of Education,Education,Any,Direct Entry,2 Year / 4 Sems,N/A,4,N/A,Graduation or Master's degree in any stream or Equivalent with 50% marks (45% for ST/SC) or equivalent CGPA in the aggregate from a recognized University.,50,Any,Direct Entry,N/A,None,22500,N/A,5500,N/A,N/A,N/A,N/A,N/A,Education Administrator; Training Manager; NGO Education Officer,"MA in Education covering educational philosophy, management, and policy. (Non-NCTE council course).",N/A,N/A,N/A,N/A
40,M.A. Clinical Psychology (RCI Approved),N/A,M.A.,Faculty of Education,Clinical Psychology,Any,Direct Entry,2 Year / 4 Sems,N/A,4,N/A,"A Bachelor’s degree in Psychology from a recognized university, with at least 50% marks in aggregate.; Bridge Course (if applicable): Candidates with a 3-year Bachelor’s degree in Psychology must complete a bridge course or the first year of the MA Clinical Psychology program with a minimum of 50% marks.",50,Any,Direct Entry,N/A,None,250500,N/A,5500,N/A,N/A,N/A,997000,N/A,Clinical Psychologist; Mental Health Counsellor; Hospital Psychologist; Researcher,RCI approved clinical psychology master's degree with mandatory clinical training. Qualifies for RCI registration as Clinical Psychologist.,N/A,N/A,N/A,N/A
41,B.Sc. Clinical Psychology (RCI Approved),N/A,B.Sc.,Faculty of Education,Clinical Psychology,Science,Direct Entry,3 Year / 6 Sems,N/A,6,N/A,N/A,45,Science,Direct Entry,N/A,None,50000,N/A,5500,N/A,N/A,N/A,N/A,N/A,Clinical Assistant; Counsellor; Rehabilitation Worker; Hospital Staff,RCI approved undergraduate clinical psychology program. Foundation for further study in clinical or counselling psychology.,N/A,N/A,N/A,N/A
42,M.Sc. Psychology,N/A,M.Sc.,Faculty of Education,Psychology,Any,Direct Entry,2 Year / 4 Sems,N/A,4,N/A,Graduation in any stream with 45% marks in aggregate for general category & 40% for SC/ST/OBC or 45 % in relevant subject from a recognized University.,45,Any,Direct Entry,N/A,None,30000,N/A,5500,N/A,N/A,N/A,N/A,N/A,Psychologist; Counsellor; HR Professional; Researcher; College Lecturer,"Post-graduate psychology covering cognitive, behavioral, social and organizational psychology.",N/A,N/A,N/A,N/A
